Date,Crop,State,Season,Price,Arrivals,Production,Rainfall,Temperature
2015-01-31,Other Rabi pulses,Punjab,Rabi,4168,277,1832207,4,10
2015-02-28,Other Rabi pulses,Punjab,Rabi,5872,597,1084054,18,10
2015-03-31,Other Rabi pulses,Punjab,Rabi,7034,705,1595024,8,35
2015-04-30,Other Rabi pulses,Punjab,Rabi,1746,4929,2723475,17,28
2015-05-31,Other Rabi pulses,Punjab,Rabi,1696,4594,2715784,16,33
2015-06-30,Other Rabi pulses,Punjab,Rabi,6391,4192,718337,294,31
2015-07-31,Other Rabi pulses,Punjab,Rabi,4199,4235,1951977,206,27
2015-08-31,Other Rabi pulses,Punjab,Rabi,6603,711,1442520,177,25
2015-09-30,Other Rabi pulses,Punjab,Rabi,7461,423,1121508,26,31
2015-10-31,Other Rabi pulses,Punjab,Rabi,6240,1720,1600735,41,29
2015-11-30,Other Rabi pulses,Punjab,Rabi,3701,1798,828724,21,31
2015-12-31,Other Rabi pulses,Punjab,Rabi,3974,2724,832727,17,12
2016-01-31,Other Rabi pulses,Punjab,Rabi,3837,3099,1961194,12,14
2016-02-29,Other Rabi pulses,Punjab,Rabi,3298,2433,1324398,0,11
2016-03-31,Other Rabi pulses,Punjab,Rabi,5434,681,1292949,17,28
2016-04-30,Other Rabi pulses,Punjab,Rabi,2515,8478,2560072,22,36
2016-05-31,Other Rabi pulses,Punjab,Rabi,1600,4358,3856419,30,37
2016-06-30,Other Rabi pulses,Punjab,Rabi,5737,3763,1990460,289,29
2016-07-31,Other Rabi pulses,Punjab,Rabi,5602,2534,821760,193,29
2016-08-31,Other Rabi pulses,Punjab,Rabi,6285,1758,926172,226,33
2016-09-30,Other Rabi pulses,Punjab,Rabi,5354,2968,984829,4,39
2016-10-31,Other Rabi pulses,Punjab,Rabi,5158,773,1012764,41,25
2016-11-30,Other Rabi pulses,Punjab,Rabi,6619,1525,734220,40,33
2016-12-31,Other Rabi pulses,Punjab,Rabi,5569,3388,1654248,2,14
2017-01-31,Other Rabi pulses,Punjab,Rabi,4905,4130,1348311,9,12
2017-02-28,Other Rabi pulses,Punjab,Rabi,4993,508,500274,6,13
2017-03-31,Other Rabi pulses,Punjab,Rabi,3586,2583,663448,40,39
2017-04-30,Other Rabi pulses,Punjab,Rabi,1980,5794,2209266,31,30
2017-05-31,Other Rabi pulses,Punjab,Rabi,3221,4759,2769637,46,31
2017-06-30,Other Rabi pulses,Punjab,Rabi,6263,4690,1689514,256,25
2017-07-31,Other Rabi pulses,Punjab,Rabi,6614,3035,1116995,209,26
2017-08-31,Other Rabi pulses,Punjab,Rabi,7973,3341,764997,171,26
2017-09-30,Other Rabi pulses,Punjab,Rabi,4060,4441,572269,4,30
2017-10-31,Other Rabi pulses,Punjab,Rabi,3603,4633,1014696,29,34
2017-11-30,Other Rabi pulses,Punjab,Rabi,7516,2313,1647743,37,29
2017-12-31,Other Rabi pulses,Punjab,Rabi,3697,4485,1988568,17,5
2018-01-31,Other Rabi pulses,Punjab,Rabi,6042,3604,1673222,22,14
2018-02-28,Other Rabi pulses,Punjab,Rabi,5198,2385,1731343,10,14
2018-03-31,Other Rabi pulses,Punjab,Rabi,3631,435,1137161,15,32
2018-04-30,Other Rabi pulses,Punjab,Rabi,1743,8798,2024394,13,31
2018-05-31,Other Rabi pulses,Punjab,Rabi,1833,4701,2280100,4,38
2018-06-30,Other Rabi pulses,Punjab,Rabi,5311,1242,998132,281,31
2018-07-31,Other Rabi pulses,Punjab,Rabi,7206,1727,554348,292,28
2018-08-31,Other Rabi pulses,Punjab,Rabi,5413,1648,1573166,153,29
2018-09-30,Other Rabi pulses,Punjab,Rabi,7575,4829,795244,35,36
2018-10-31,Other Rabi pulses,Punjab,Rabi,6901,3135,1391543,4,36
2018-11-30,Other Rabi pulses,Punjab,Rabi,6973,723,1505784,38,29
2018-12-31,Other Rabi pulses,Punjab,Rabi,3749,4477,1653040,24,7
2019-01-31,Other Rabi pulses,Punjab,Rabi,4274,825,1541500,5,12
2019-02-28,Other Rabi pulses,Punjab,Rabi,5643,1568,710799,7,9
2019-03-31,Other Rabi pulses,Punjab,Rabi,4826,672,595026,9,33
2019-04-30,Other Rabi pulses,Punjab,Rabi,2710,7418,3132429,48,28
2019-05-31,Other Rabi pulses,Punjab,Rabi,1805,7431,3830055,40,39
2019-06-30,Other Rabi pulses,Punjab,Rabi,4784,2793,1201762,231,32
2019-07-31,Other Rabi pulses,Punjab,Rabi,7312,585,540707,283,27
2019-08-31,Other Rabi pulses,Punjab,Rabi,4269,154,1847063,294,27
2019-09-30,Other Rabi pulses,Punjab,Rabi,7918,2796,1180659,8,29
2019-10-31,Other Rabi pulses,Punjab,Rabi,5449,4209,1969477,22,26
2019-11-30,Other Rabi pulses,Punjab,Rabi,3037,2221,1126359,19,39
2019-12-31,Other Rabi pulses,Punjab,Rabi,6055,2594,937515,9,12
2020-01-31,Other Rabi pulses,Punjab,Rabi,3981,1732,597941,4,6
2020-02-29,Other Rabi pulses,Punjab,Rabi,7521,1336,1238846,14,5
2020-03-31,Other Rabi pulses,Punjab,Rabi,7484,261,1413299,30,29
2020-04-30,Other Rabi pulses,Punjab,Rabi,3109,8436,3496203,1,25
2020-05-31,Other Rabi pulses,Punjab,Rabi,1397,4296,2161653,37,31
2020-06-30,Other Rabi pulses,Punjab,Rabi,6633,4508,926207,153,33
2020-07-31,Other Rabi pulses,Punjab,Rabi,3954,2102,897963,270,26
2020-08-31,Other Rabi pulses,Punjab,Rabi,3374,3219,1146311,163,27
2020-09-30,Other Rabi pulses,Punjab,Rabi,3149,3829,805680,33,29
2020-10-31,Other Rabi pulses,Punjab,Rabi,5027,467,1658052,26,36
2020-11-30,Other Rabi pulses,Punjab,Rabi,5091,884,1362106,27,36
2020-12-31,Other Rabi pulses,Punjab,Rabi,5356,4040,1731650,3,14
2021-01-31,Other Rabi pulses,Punjab,Rabi,4421,1589,792034,4,13
2021-02-28,Other Rabi pulses,Punjab,Rabi,5042,1212,1491607,12,13
2021-03-31,Other Rabi pulses,Punjab,Rabi,3398,3514,1946071,22,28
2021-04-30,Other Rabi pulses,Punjab,Rabi,2470,4825,2078700,9,35
