Date,Crop,State,Season,Price,Arrivals,Production,Rainfall,Temperature,Demand
2015-01-31,0,0,0,4168,277,1832207,4,10,850369.37107512
2015-02-28,0,0,0,5872,597,1084054,18,10,269034.1923445286
2015-03-31,0,0,0,7034,705,1595024,8,35,177180.62085615902
2015-04-30,0,0,0,1746,4929,2723475,17,28,962336.9674575398
2015-05-31,0,0,0,1696,4594,2715784,16,33,1046989.7386793614
2015-06-30,0,0,0,6391,4192,718337,294,31,77068.0077728854
2015-07-31,0,0,0,4199,4235,1951977,206,27,490646.1268663469
2015-08-31,0,0,0,6603,711,1442520,177,25,231714.69317579534
2015-09-30,0,0,0,7461,423,1121508,26,31,71758.97992441415
2015-10-31,0,0,0,6240,1720,1600735,41,29,284569.75619321724
2015-11-30,0,0,0,3701,1798,828724,21,31,356241.2493133845
2015-12-31,0,0,0,3974,2724,832727,17,12,292088.7644424725
2016-01-31,0,0,0,3837,3099,1961194,12,14,668795.2486685319
2016-02-29,0,0,0,3298,2433,1324398,0,11,567766.8510679643
2016-03-31,0,0,0,5434,681,1292949,17,28,383112.98163762735
2016-04-30,0,0,0,2515,8478,2560072,22,36,100873.8045988985
2016-05-31,0,0,0,1600,4358,3856419,30,37,1590314.3510918585
2016-06-30,0,0,0,5737,3763,1990460,289,29,327294.859761633
2016-07-31,0,0,0,5602,2534,821760,193,29,176827.16535943322
2016-08-31,0,0,0,6285,1758,926172,226,33,159597.10726364193
2016-09-30,0,0,0,5354,2968,984829,4,39,218142.8101418351
2016-10-31,0,0,0,5158,773,1012764,41,25,328716.4971720973
2016-11-30,0,0,0,6619,1525,734220,40,33,105130.44698917917
2016-12-31,0,0,0,5569,3388,1654248,2,14,313167.09352357546
2017-01-31,0,0,0,4905,4130,1348311,9,12,282013.74433929496
2017-02-28,0,0,0,4993,508,500274,6,13,177347.08053319613
2017-03-31,0,0,0,3586,2583,663448,40,39,260887.54091402228
2017-04-30,0,0,0,1980,5794,2209266,31,30,591566.127835294
2017-05-31,0,0,0,3221,4759,2769637,46,31,779025.1481709227
2017-06-30,0,0,0,6263,4690,1689514,256,25,175408.99581412863
