Date,Crop,State,Season,Price,Arrivals,Production,Rainfall,Temperature,Demand,DemandPredicted
2015-01-31,0,0,0,4168,277,1832207,4,10,850369.37107512,699493.2807854656
2015-02-28,0,0,0,5872,597,1084054,18,10,269034.1923445286,359703.84616416815
2015-03-31,0,0,0,7034,705,1595024,8,35,177180.62085615902,323031.43644067645
2015-04-30,0,0,0,1746,4929,2723475,17,28,962336.9674575398,740824.8944564244
2015-05-31,0,0,0,1696,4594,2715784,16,33,1046989.7386793614,758436.9784055587
2015-06-30,0,0,0,6391,4192,718337,294,31,77068.0077728854,-66728.38336454378
2015-07-31,0,0,0,4199,4235,1951977,206,27,490646.1268663469,423156.89058407093
2015-08-31,0,0,0,6603,711,1442520,177,25,231714.6931757953,341721.59144162154
2015-09-30,0,0,0,7461,423,1121508,26,31,71758.97992441415,209304.1173948375
2015-10-31,0,0,0,6240,1720,1600735,41,29,284569.75619321724,328688.0716682508
2015-11-30,0,0,0,3701,1798,828724,21,31,356241.2493133845,437867.91253744223
2015-12-31,0,0,0,3974,2724,832727,17,12,292088.7644424725,340288.01863138715
2016-01-31,0,0,0,3837,3099,1961194,12,14,668795.2486685319,539911.5486437798
2016-02-29,0,0,0,3298,2433,1324398,0,11,567766.8510679643,532867.5685743509
2016-03-31,0,0,0,5434,681,1292949,17,28,383112.98163762735,436447.21843995084
2016-04-30,0,0,0,2515,8478,2560072,22,36,100873.8045988985,310057.3019999157
2016-05-31,0,0,0,1600,4358,3856419,30,37,1590314.3510918585,1002669.2326608401
2016-06-30,0,0,0,5737,3763,1990460,289,29,327294.859761633,303521.38317475613
2016-07-31,0,0,0,5602,2534,821760,193,29,176827.16535943322,183417.95912174616
2016-08-31,0,0,0,6285,1758,926172,226,33,159597.10726364193,190047.338429163
2016-09-30,0,0,0,5354,2968,984829,4,39,218142.8101418351,204002.8432163298
2016-10-31,0,0,0,5158,773,1012764,41,25,328716.4971720973,394656.19620343327
2016-11-30,0,0,0,6619,1525,734220,40,33,105130.44698917917,125452.90747134761
2016-12-31,0,0,0,5569,3388,1654248,2,14,313167.09352357546,278572.52390674135
2017-01-31,0,0,0,4905,4130,1348311,9,12,282013.74433929496,231753.66608084572
2017-02-28,0,0,0,4993,508,500274,6,13,177347.08053319613,350158.14530683274
2017-03-31,0,0,0,3586,2583,663448,40,39,260887.54091402228,372339.16580937116
2017-04-30,0,0,0,1980,5794,2209266,31,30,591566.127835294,540778.9751995017
2017-05-31,0,0,0,3221,4759,2769637,46,31,779025.1481709227,585300.4026150309
2017-06-30,0,0,0,6263,4690,1689514,256,25,175408.99581412863,106259.83169154468
2017-07-31,0,0,0,6614,3035,1116995,209,26,128071.06219022797,91814.82660957413
2017-08-31,0,0,0,7973,3341,764997,171,26,1503.0484406816051,-138978.38849607162
2017-09-30,0,0,0,4060,4441,572269,4,30,142654.80067054008,155463.64036826682
2017-10-31,0,0,0,3603,4633,1014696,29,34,270394.5423409772,263628.2444626053
2017-11-30,0,0,0,7516,2313,1647743,37,29,73766.71052048732,147629.99500271972
2017-12-31,0,0,0,3697,4485,1988568,17,5,536171.6702894456,455759.55132849887
2018-01-31,0,0,0,6042,3604,1673222,22,14,245250.09313351123,213179.00432596228
2018-02-28,0,0,0,5198,2385,1731343,10,14,445410.0774220793,419212.0685395702
2018-03-31,0,0,0,3631,435,1137161,15,32,590875.9939390072,637125.9236808663
2018-04-30,0,0,0,1743,8798,2024394,13,31,34674.16521431642,264361.7675430999
2018-05-31,0,0,0,1833,4701,2280100,4,38,839008.6689404424,641882.115046283
2018-06-30,0,0,0,5311,1242,998132,281,31,289029.9595890079,358131.90913159
2018-07-31,0,0,0,7206,1727,554348,292,28,44354.73794918991,21234.905424075012
2018-08-31,0,0,0,5413,1648,1573166,153,29,415300.6123427744,422199.35730943683
2018-09-30,0,0,0,7575,4829,795244,35,36,19479.484812726263,-203089.99281143292
2018-10-31,0,0,0,6901,3135,1391543,4,36,124342.1312812917,102752.51146755187
2018-11-30,0,0,0,6973,723,1505784,38,29,177465.73079067425,310094.8888323738
2018-12-31,0,0,0,3749,4477,1653040,24,7,441096.6433281472,389405.61222433235
2019-01-31,0,0,0,4274,825,1541500,5,12,651917.5766704321,605980.3628119441
2019-02-28,0,0,0,5643,1568,710799,7,9,172809.8829517691,235492.0264500438
2019-03-31,0,0,0,4826,672,595026,9,33,218356.66301867293,378513.0197976521
2019-04-30,0,0,0,2710,7418,3132429,48,28,363096.2873918036,504288.46848075656
2019-05-31,0,0,0,1805,7431,3830055,40,39,515656.2331502833,737628.5629147667
2019-06-30,0,0,0,4784,2793,1201762,231,32,332976.4618438657,333540.5265790672
2019-07-31,0,0,0,7312,585,540707,283,27,43361.0246199682,105681.06236772884
2019-08-31,0,0,0,4269,154,1847063,294,27,846433.6397135276,706785.6569430188
2019-09-30,0,0,0,7918,2796,1180659,8,29,8138.671845282051,-12685.150230721314
2019-10-31,0,0,0,5449,4209,1969477,22,26,333972.6292631802,284128.8438560821
2019-11-30,0,0,0,3037,2221,1126359,19,39,526148.9226006613,541277.8313412459
2019-12-31,0,0,0,6055,2594,937515,9,12,162075.0952002175,148131.94550186594
2020-01-31,0,0,0,3981,1732,597941,4,6,242489.89297367423,388293.0428759951
2020-02-29,0,0,0,7521,1336,1238846,14,5,62910.79943662957,149130.2898324437
2020-03-31,0,0,0,7484,261,1413299,30,29,88191.71554317148,280688.2878906001
2020-04-30,0,0,0,3109,8436,3496203,1,25,132814.6306317129,442021.12973859475
2020-05-31,0,0,0,1397,4296,2161653,37,31,932005.7468181248,694166.625684218
2020-06-30,0,0,0,6633,4508,926207,153,33,78852.27218818323,-74837.90431185758
2020-07-31,0,0,0,3954,2102,897963,270,26,347932.7423600759,405922.21731008246
2020-08-31,0,0,0,3374,3219,1146311,163,27,425564.01971065305,429821.12443592976
2020-09-30,0,0,0,3149,3829,805680,33,29,280534.708790038,336207.6101873367
2020-10-31,0,0,0,5027,467,1658052,26,36,583936.2315811861,562040.0956478047
2020-11-30,0,0,0,5091,884,1362106,27,36,446424.2438286336,463746.57386707136
2020-12-31,0,0,0,5356,4040,1731650,3,14,315104.0766236584,271164.89462306234
